"Late Helladic IIIB",91200,87000,4.39,927,3900,29171,2.27,1.2534,4.86,30.8,4250,.4186,27.2,28.8,22.83,55000,62,2.6742,9.34,.837,246,11.57,227,178,.7,3.73,126,92,-1250
"Late Helladic IIIB",89200,83000,4.37,972,4780,30382,2.37,1.1638,5.04,32,4670,.3795,27.6,28.5,23.28,56900,65.3,2.6954,9.65,.842,242,12.15,214,178,.78,3.74,121,93,-1250
"Late Helladic IIIB",73800,90000,4.44,935,9690,18173,1.95,1.2623,5.01,27.1,4100,.3615,23.1,23.1,18.62,48100,55.9,2.4628,4.72,.788,199,9.8,174,99,.73,3.92,104,94,-1250
"Late Helladic IIIB",84300,91000,4.4,853,10260,22926,2.55,1.2534,5.23,32.3,4540,.4355,28.5,30.9,22.29,51800,62.4,2.8645,9.01,.804,253,11.45,222,145,.82,4.24,132,95,-1250
"Late Helladic IIIB",76500,105000,4.34,934,5700,19478,2.38,1.1728,4.83,29.5,4500,.3921,28.1,29.4,22.36,53500,61.4,2.6636,8.87,.801,253,11.01,217,149,.81,3.8,120,96,-1250
"Late Helladic IIIB",76300,102000,4.14,967,5540,21435,2.13,1.128,4.98,30.5,4010,.3932,27.8,28.7,20.14,49900,59.7,2.6848,8.1,.771,256,10.08,199,146,.79,3.75,125,97,-1250
"Late Helladic IIIB",79000,84000,4.55,953,5900,23392,2.19,1.1459,5.07,29.4,4390,.3731,24.5,27.8,20.43,50400,61.6,2.6954,8.02,.809,247,10.32,203,154,.8,3.5,123,98,-1250
"Late Helladic IIIB",73000,93000,4.28,954,9430,18733,2.12,1.0833,4.9,28.1,4490,.3805,22.5,25.7,18.46,49800,59.4,2.2831,8.15,.812,242,10.07,169,110,.75,4.48,126,99,-1250
"Late Helladic IIIB",83800,82000,4.35,907,5240,29264,2.21,1.0654,4.55,28.4,4330,.3964,26.7,29.6,23.03,54500,62.4,2.5157,9.35,.81,271,11.34,221,178,.76,3.78,127,100,-1250
"Late Helladic IIIB",86400,77000,4.32,928,8300,24511,2.46,1.1549,5.03,31.6,4720,.3773,29.4,27.7,21.91,53400,64.5,2.6214,9.26,.825,236,11.71,231,157,.85,4.06,110,101,-1250
"Late Helladic IIIB",92200,93000,4.68,865,6460,29264,2.68,1.2175,5.51,36.1,4820,.4598,33.5,30.5,23.93,55600,70.2,3.097,10.08,.864,229,11.93,204,164,.86,3.37,127,102,-1250
"Late Helladic IIIB",87600,111000,4.97,835,12260,11836,2.23,1.3429,5.38,32.5,4060,.4228,28.1,32.6,23.55,58800,65.7,3.023,10.77,.768,272,11.04,234,138,.86,3.41,138,103,-1250
